risk,place,year,count,score,rank
openntp,vn,2016,17420,76.87,18
openntp,vu,2016,70,33.44,157
openntp,ws,2016,30,26.77,180
openntp,xk,2016,30,26.77,180
openntp,xy,2016,17030,76.69,19
openntp,za,2016,5050,67.12,38
openntp,zm,2016,260,43.77,122
openntp,zw,2016,420,47.54,113
openssdp,ad,2016,1110,47.56,114
openssdp,ae,2016,47310,73.01,39
openssdp,af,2016,1040,47.12,119
openssdp,ag,2016,400,40.64,134
openssdp,ai,2016,20,20.32,191
openssdp,al,2016,3000,54.3,89
openssdp,am,2016,24720,68.61,53
openssdp,ao,2016,2210,52.23,96
openssdp,ar,2016,703260,91.32,4
openssdp,at,2016,7210,60.25,74
openssdp,au,2016,60460,74.68,34
openssdp,aw,2016,220,36.58,146
openssdp,ax,2016,120,32.47,160
openssdp,az,2016,6300,59.34,78
openssdp,ba,2016,56100,74.17,35
openssdp,bb,2016,930,46.36,120
openssdp,bd,2016,2470,52.99,94
openssdp,be,2016,9290,61.97,69
openssdp,bf,2016,30,23.07,184
openssdp,bg,2016,164770,81.48,21
openssdp,bh,2016,2010,51.59,98
openssdp,bj,2016,140,33.52,155
openssdp,bl,2016,10,15.62,200
openssdp,bm,2016,510,42.29,125
openssdp,bn,2016,170,34.83,152
openssdp,bo,2016,40730,72.0,43
openssdp,bq,2016,510,42.29,125
openssdp,br,2016,484910,88.8,7
openssdp,bs,2016,100,31.24,165
openssdp,bt,2016,110,31.88,163
openssdp,bw,2016,60,27.77,174
openssdp,by,2016,18140,66.51,58
openssdp,bz,2016,40,25.02,181
openssdp,ca,2016,243880,84.13,17
openssdp,cd,2016,40,25.02,181
openssdp,cg,2016,30,23.07,184
openssdp,ch,2016,11640,63.5,64
openssdp,ci,2016,120,32.47,160
openssdp,cl,2016,33370,70.64,47
openssdp,cm,2016,150,33.99,154
openssdp,cn,2016,2529390,100.0,1
openssdp,co,2016,434490,88.05,8
openssdp,cr,2016,41290,72.09,42
openssdp,cw,2016,9920,62.42,68
openssdp,cy,2016,47250,73.0,40
openssdp,cz,2016,7670,60.67,73
openssdp,de,2016,37770,71.48,45
openssdp,dj,2016,10,15.62,200
openssdp,dk,2016,15380,65.39,59
openssdp,dm,2016,510,42.29,125
openssdp,do,2016,29290,69.76,50
openssdp,dz,2016,47460,73.03,38
openssdp,ec,2016,65340,75.2,31
openssdp,ee,2016,1980,51.49,99
openssdp,eg,2016,72310,75.89,28
openssdp,er,2016,10,15.62,200
openssdp,es,2016,259320,84.55,16
openssdp,et,2016,130,33.01,158
openssdp,fi,2016,6490,59.54,76
openssdp,fj,2016,30,23.07,184
openssdp,fm,2016,140,33.52,155
openssdp,fo,2016,10,15.62,200
openssdp,fr,2016,22370,67.93,56
openssdp,ga,2016,80,29.72,170
openssdp,gb,2016,53420,73.84,36
openssdp,gd,2016,780,45.17,122
openssdp,ge,2016,260,37.72,144
openssdp,gf,2016,20,20.32,191
openssdp,gg,2016,190,35.59,148
openssdp,gh,2016,500,42.15,128
openssdp,gi,2016,60,27.77,174
openssdp,gm,2016,30,23.07,184
openssdp,gp,2016,340,39.54,138
openssdp,gq,2016,20,20.32,191
openssdp,gr,2016,343580,86.46,12
openssdp,gt,2016,1300,48.63,108
openssdp,gu,2016,360,39.92,137
openssdp,gy,2016,20,20.32,191
openssdp,hk,2016,38430,71.6,44
openssdp,hn,2016,1090,47.44,116
openssdp,hr,2016,8570,61.42,71
openssdp,ht,2016,30,23.07,184
openssdp,hu,2016,118510,79.24,25
openssdp,id,2016,8680,61.51,70
openssdp,ie,2016,13820,64.66,61
openssdp,il,2016,29560,69.82,48
openssdp,im,2016,30,23.07,184
openssdp,in,2016,212280,83.19,19
openssdp,iq,2016,3090,54.5,87
openssdp,ir,2016,157580,81.17,22
openssdp,is,2016,410,40.81,132
openssdp,it,2016,135250,80.14,24
openssdp,je,2016,320,39.12,140
openssdp,jm,2016,3870,56.03,83
openssdp,jo,2016,3920,56.12,82
openssdp,jp,2016,283800,85.16,14
openssdp,ke,2016,1520,49.69,103
openssdp,kg,2016,2680,53.54,92
openssdp,kh,2016,1070,47.31,117
openssdp,kn,2016,1260,48.42,110
openssdp,kp,2016,10,15.62,200
openssdp,kr,2016,400500,87.5,9
openssdp,kw,2016,2050,51.72,97
openssdp,ky,2016,1310,48.68,107
openssdp,kz,2016,29460,69.8,49
openssdp,la,2016,420,40.97,131
openssdp,lb,2016,12210,63.82,63
openssdp,lc,2016,310,38.91,142
openssdp,li,2016,90,30.52,169
openssdp,lk,2016,1300,48.63,108
openssdp,ls,2016,180,35.22,150
openssdp,lt,2016,10650,62.9,67
openssdp,lu,2016,240,37.17,145
openssdp,lv,2016,6360,59.4,77
openssdp,ly,2016,1860,51.06,100
openssdp,ma,2016,5240,58.09,80
openssdp,mc,2016,10,15.62,200
openssdp,md,2016,19180,66.89,57
openssdp,me,2016,23310,68.21,54
openssdp,mf,2016,310,38.91,142
openssdp,mg,2016,1350,48.89,105
openssdp,mk,2016,3050,54.42,88
openssdp,ml,2016,50,26.53,177
openssdp,mn,2016,330,39.33,139
openssdp,mo,2016,1500,49.6,104
openssdp,mp,2016,200,35.94,147
openssdp,mq,2016,30,23.07,184
openssdp,mr,2016,80,29.72,170
openssdp,ms,2016,110,31.88,163
openssdp,mt,2016,840,45.67,121
openssdp,mu,2016,66240,75.29,30
openssdp,mv,2016,1600,50.04,102
openssdp,mw,2016,100,31.24,165
openssdp,mx,2016,65300,75.2,31
openssdp,my,2016,348570,86.56,11
openssdp,mz,2016,400,40.64,134
openssdp,na,2016,180,35.22,150
openssdp,nc,2016,1110,47.56,114
openssdp,ne,2016,60,27.77,174
openssdp,ng,2016,160,34.42,153
openssdp,ni,2016,1260,48.42,110
openssdp,nl,2016,70920,75.76,29
openssdp,no,2016,28020,69.46,52
openssdp,np,2016,1200,48.09,112
openssdp,nz,2016,14760,65.11,60
