opendns,ee,2016,222400
openssdp,id,2016,220900
spam,ir,2016,220300
openssdp,be,2016,219800
openntp,eg,2016,219700
opendns,uy,2014,215300
openntp,az,2015,214500
openntp,bo,2015,214200
spam,sg,2015,212100
openntp,mo,2014,211200
openntp,lu,2015,210100
openssdp,cz,2016,208600
opendns,ni,2016,208200
opendns,mk,2016,208000
openntp,jo,2014,205100
opendns,ch,2014,204800
spam,cn,2014,203800
openntp,ni,2015,201600
openntp,kw,2016,201300
spam,in,2013,201200
opendns,sv,2014,200800
openntp,pr,2016,198300
openntp,qa,2016,197500
openntp,ge,2015,196900
openntp,mo,2016,196400
opendns,sn,2016,194600
spam,ar,2014,193900
openntp,la,2015,193500
openntp,lu,2014,192300
opendns,al,2016,190800
openntp,cy,2016,190700
spam,pe,2013,189800
opendns,lk,2014,189800
opendns,om,2015,187700
opendns,gu,2015,186100
spam,pl,2015,183000
opendns,hr,2014,182700
openntp,by,2016,182400
openntp,tn,2014,179500
spam,br,2014,178700
opendns,tt,2015,178100
openntp,mn,2015,177600
opendns,tn,2014,176700
spam,fr,2015,176500
openssdp,at,2016,176100
opendns,si,2015,175100
openntp,hr,2016,174900
spam,ca,2015,174900
spam,co,2015,172800
openssdp,sk,2016,172400
openntp,ee,2014,171800
openntp,is,2016,170200
opendns,mz,2015,168500
openssdp,rs,2016,165700
openntp,jm,2015,165600
openntp,mk,2016,165400
openntp,ni,2014,164900
openntp,lb,2014,164500
spam,ir,2015,163700
spam,it,2015,163500
openntp,jo,2015,163300
opendns,ae,2014,159700
opendns,za,2014,159200
openntp,mn,2016,159100
openntp,tt,2014,158900
spam,es,2015,158600
opendns,uz,2016,158200
opendns,cr,2016,158000
openntp,lb,2015,157400
openssdp,lv,2016,156200
spam,tw,2013,155200
openssdp,ma,2016,155200
spam,ir,2013,153000
spam,tr,2016,152500
openssdp,fi,2016,152400
opendns,gh,2015,151300
openntp,ba,2016,151000
openntp,bh,2015,150800
openntp,tn,2015,150100
spam,xy,2014,148900
openntp,ng,2016,148200
opendns,vg,2016,147300
openntp,jm,2014,147100
openntp,cr,2016,146900
opendns,vg,2015,146800
openntp,hn,2016,146100
spam,by,2013,145500
openntp,ni,2016,145200
openntp,ps,2016,144500
spam,id,2016,144100
opendns,iq,2015,143900
opendns,si,2016,142700
openntp,kg,2014,141400
opendns,dk,2014,141300
openntp,mt,2015,140700
openntp,tz,2014,139800
openntp,bm,2015,139300
openssdp,sr,2016,139100
opendns,iq,2016,139100
spam,nl,2015,138600
openntp,al,2015,138100
spam,bg,2015,138100
openntp,dz,2015,138000
openntp,tt,2015,136900
opendns,af,2016,136200
opendns,mz,2016,136100
openntp,bm,2014,135800
opendns,cy,2015,135300
openntp,lt,2016,134800
openntp,az,2016,134500
opendns,af,2015,134500
openssdp,az,2016,134300
spam,vn,2013,134300
spam,ar,2015,134000
openntp,zw,2014,133800
openntp,ps,2014,133400
opendns,mu,2016,133300
opendns,lu,2015,133100
openntp,tz,2015,132900
opendns,pr,2015,132300
opendns,gt,2014,132000
spam,fr,2016,130600
opendns,om,2016,129700
openntp,la,2014,128400
spam,jp,2015,128300
openntp,uz,2014,126500
spam,bd,2015,126500
openntp,mu,2015,126300
opendns,np,2014,126300
opendns,hn,2016,125200
openntp,do,2014,124800
opendns,tt,2016,123300
openntp,zw,2015,122100
spam,in,2014,121200
spam,ru,2013,120500
openntp,gt,2016,120500
openntp,bo,2016,120500
opendns,at,2014,119900
spam,pe,2014,119600
openntp,mu,2016,119000
spam,tw,2014,118800
spam,ua,2014,117800
openntp,sv,2016,117500
openntp,uz,2015,117200
spam,tr,2015,117200
opendns,et,2015,116400
opendns,fj,2015,115600
openntp,sd,2014,115200
opendns,pt,2014,114700
openntp,mt,2014,114700
openntp,do,2016,114400
openntp,ug,2014,113200
opendns,cy,2016,111800
openntp,rw,2015,111300
opendns,pk,2014,111100
spam,kz,2014,111000
spam,mx,2015,110900
openntp,bb,2014,110600
opendns,bb,2016,110600
opendns,gh,2016,109900
openssdp,sv,2016,109500
opendns,mv,2015,108700
opendns,ma,2014,108200
opendns,bz,2016,108100
opendns,ke,2015,108000
opendns,no,2014,107900
opendns,nz,2014,107500
openntp,al,2014,107200
openntp,ee,2015,107100
openntp,dz,2014,106600
opendns,lu,2016,106200
opendns,sd,2015,104800
openntp,gh,2014,104600
opendns,pa,2014,103900
spam,pe,2016,103600
opendns,mo,2015,103300
opendns,py,2014,103100
spam,jp,2013,103000
openntp,am,2014,102700
opendns,il,2014,102200
spam,th,2015,100500
openntp,mn,2014,100400
openssdp,jm,2016,100300
opendns,bh,2015,100100
opendns,ao,2015,99800
opendns,ao,2016,99800
openssdp,jo,2016,99200
opendns,cr,2014,98000
openntp,jo,2016,97900
openntp,lv,2016,97400
openntp,iq,2015,97200
openntp,sd,2015,95300
openntp,cw,2015,95100
openntp,ht,2014,95100
openntp,rw,2014,94100
spam,ro,2015,94000
spam,es,2014,94000
opendns,mr,2015,93700
spam,bo,2015,92600
opendns,fi,2014,92400
openntp,kg,2015,92000
openntp,al,2016,91500
opendns,is,2015,91400
opendns,pr,2016,91100
openssdp,sy,2016,91100
spam,hk,2016,90500
openssdp,pt,2016,90100
openntp,mu,2014,89100
openssdp,vc,2016,89100
opendns,be,2014,87700
openntp,bb,2015,87700
openntp,cw,2014,87600
openssdp,sa,2016,86800
opendns,ng,2015,86800
openntp,tn,2016,86600
spam,co,2016,86500
openntp,om,2014,86400
openntp,lk,2016,84200
spam,rs,2015,83800
opendns,kh,2016,83500
spam,us,2013,83300
openntp,dz,2016,82900
opendns,ke,2016,82800
spam,co,2014,82700
spam,ua,2013,82700
openntp,gh,2015,81300
openntp,zm,2014,81200
openssdp,ps,2016,81100
openntp,me,2014,80800
spam,ar,2016,80600
openssdp,al,2016,80500
openntp,me,2015,80500
opendns,sd,2016,79300
opendns,jo,2014,79200
opendns,mv,2016,78800
spam,pk,2016,78400
spam,it,2014,77600
openntp,bh,2016,77400
opendns,mr,2016,76600
spam,de,2016,76600
opendns,tz,2015,76300
openntp,jm,2016,76200
opendns,gu,2016,76100
openntp,ee,2016,75500
opendns,bd,2014,75400
openntp,ao,2015,74900
openntp,am,2015,74800
opendns,la,2015,74500
openntp,bm,2016,74200
spam,ua,2016,74100
openntp,zm,2015,73800
openntp,iq,2014,73500
openntp,fj,2015,73400
openssdp,mk,2016,73300
openssdp,iq,2016,73200
spam,mx,2014,72600
opendns,vc,2015,72600
spam,ve,2015,72500
spam,kz,2013,71500
openssdp,vi,2016,71000
spam,de,2014,70900
opendns,fj,2016,70600
openntp,lu,2016,70500
openntp,bz,2015,70300
openntp,aw,2015,70100
opendns,tz,2016,69400
spam,tw,2016,68500
openntp,tz,2016,68400
openntp,np,2014,68300
opendns,ye,2014,68200
opendns,is,2016,67600
openntp,ht,2015,67500
openntp,fj,2014,67400
opendns,ng,2016,67200
opendns,cm,2015,66900
openntp,mt,2016,66400
openntp,ao,2014,66300
opendns,vc,2016,66200
openssdp,bd,2016,66000
opendns,mo,2016,66000
opendns,kg,2014,65300
openntp,ug,2015,65100
openntp,lb,2016,64900
openntp,tt,2016,64900
spam,fr,2014,64300
spam,nl,2014,64100
spam,ir,2014,63700
opendns,ie,2014,63600
opendns,bo,2014,63000
openntp,rw,2016,62800
openssdp,ao,2016,62400
openssdp,uz,2016,62400
opendns,bh,2016,62200
openntp,kg,2016,61600
spam,pl,2014,61100
openntp,pg,2015,60300
spam,it,2016,59900
opendns,bf,2015,59200
openntp,pg,2014,59100
opendns,lv,2014,58400
openssdp,kg,2016,58300
opendns,bb,2015,58100
spam,eg,2015,57800
openntp,uz,2016,57600
opendns,bf,2016,56800
openntp,sd,2016,56800
opendns,ci,2015,56300
spam,jp,2016,56200
openntp,cm,2014,55800
openntp,mz,2014,55800
spam,za,2015,55600
openntp,np,2015,55500
openntp,cw,2016,55500
spam,by,2014,55000
openntp,zw,2016,55000
spam,kz,2015,54700
spam,ar,2013,54400
openntp,sn,2015,54100
spam,cl,2014,54000
openntp,gh,2016,53900
spam,pt,2014,53600
spam,id,2013,53100
spam,tr,2014,52500
spam,ph,2013,52400
opendns,zw,2015,52200
spam,se,2015,52200
spam,xy,2015,51400
openssdp,kw,2016,51200
spam,gb,2016,51200
opendns,mt,2015,51100
spam,es,2016,51000
openntp,na,2014,50900
opendns,lb,2014,50700
opendns,kg,2015,50600
openntp,gu,2014,50400
openntp,cm,2015,50200
spam,ph,2015,50100
opendns,kg,2016,50000
spam,ro,2014,49800
openntp,mz,2015,49700
opendns,bz,2014,49700
spam,pr,2016,49600
opendns,ly,2014,48400
spam,cl,2015,48300
openssdp,bh,2016,48300
openntp,me,2016,48300
openntp,bn,2014,47600
openntp,bz,2014,47600
spam,al,2015,47500
openssdp,ly,2016,47400
