risk,place,year,count,score,rank
openssdp,ci,2016,120,67.53,46
openssdp,cl,2016,33370,29.36,161
openssdp,cm,2016,150,66.01,54
openssdp,cn,2016,2529390,0.0,207
openssdp,co,2016,434490,11.95,200
openssdp,cr,2016,41290,27.91,166
openssdp,cw,2016,9920,37.58,140
openssdp,cy,2016,47250,27.0,168
openssdp,cz,2016,7670,39.33,135
openssdp,de,2016,37770,28.52,163
openssdp,dj,2016,10,84.38,1
openssdp,dk,2016,15380,34.61,149
openssdp,dm,2016,510,57.71,81
openssdp,do,2016,29290,30.24,158
openssdp,dz,2016,47460,26.97,170
openssdp,ec,2016,65340,24.8,176
openssdp,ee,2016,1980,48.51,109
openssdp,eg,2016,72310,24.11,180
openssdp,er,2016,10,84.38,1
openssdp,es,2016,259320,15.45,192
openssdp,et,2016,130,66.99,49
openssdp,fi,2016,6490,40.46,132
openssdp,fj,2016,30,76.93,18
openssdp,fm,2016,140,66.48,51
openssdp,fo,2016,10,84.38,1
openssdp,fr,2016,22370,32.07,152
openssdp,ga,2016,80,70.28,36
openssdp,gb,2016,53420,26.16,172
openssdp,gd,2016,780,54.83,86
openssdp,ge,2016,260,62.28,64
openssdp,gf,2016,20,79.68,9
openssdp,gg,2016,190,64.41,59
openssdp,gh,2016,500,57.85,80
openssdp,gi,2016,60,72.23,32
openssdp,gm,2016,30,76.93,18
openssdp,gp,2016,340,60.46,70
openssdp,gq,2016,20,79.68,9
openssdp,gr,2016,343580,13.54,196
openssdp,gt,2016,1300,51.37,99
openssdp,gu,2016,360,60.08,71
openssdp,gy,2016,20,79.68,9
openssdp,hk,2016,38430,28.4,164
openssdp,hn,2016,1090,52.56,92
openssdp,hr,2016,8570,38.58,137
openssdp,ht,2016,30,76.93,18
openssdp,hu,2016,118510,20.76,183
openssdp,id,2016,8680,38.49,138
openssdp,ie,2016,13820,35.34,147
openssdp,il,2016,29560,30.18,160
openssdp,im,2016,30,76.93,18
openssdp,in,2016,212280,16.81,189
openssdp,iq,2016,3090,45.5,121
openssdp,ir,2016,157580,18.83,186
openssdp,is,2016,410,59.19,75
openssdp,it,2016,135250,19.86,184
openssdp,je,2016,320,60.88,67
openssdp,jm,2016,3870,43.97,125
openssdp,jo,2016,3920,43.88,126
openssdp,jp,2016,283800,14.84,194
openssdp,ke,2016,1520,50.31,105
openssdp,kg,2016,2680,46.46,116
openssdp,kh,2016,1070,52.69,91
openssdp,kn,2016,1260,51.58,97
openssdp,kp,2016,10,84.38,1
openssdp,kr,2016,400500,12.5,199
openssdp,kw,2016,2050,48.28,111
openssdp,ky,2016,1310,51.32,101
openssdp,kz,2016,29460,30.2,159
openssdp,la,2016,420,59.03,77
openssdp,lb,2016,12210,36.18,145
openssdp,lc,2016,310,61.09,65
openssdp,li,2016,90,69.48,39
openssdp,lk,2016,1300,51.37,99
openssdp,ls,2016,180,64.78,57
openssdp,lt,2016,10650,37.1,141
openssdp,lu,2016,240,62.83,63
openssdp,lv,2016,6360,40.6,131
openssdp,ly,2016,1860,48.94,108
openssdp,ma,2016,5240,41.91,128
openssdp,mc,2016,10,84.38,1
openssdp,md,2016,19180,33.11,151
openssdp,me,2016,23310,31.79,154
openssdp,mf,2016,310,61.09,65
openssdp,mg,2016,1350,51.11,102
openssdp,mk,2016,3050,45.58,120
openssdp,ml,2016,50,73.47,28
openssdp,mn,2016,330,60.67,69
openssdp,mo,2016,1500,50.4,104
openssdp,mp,2016,200,64.06,61
openssdp,mq,2016,30,76.93,18
